           , N1           , N2           , N3           , N4           , N5           , N6           , N7           , N8           , N9           , N10          , N11          , N12         
1990-01-24 , 0.0688768104 , 0.0028885734 , 0.0050082171 , 0.0688768104 , 0.0079526405 , 0.0098635920 , 0.0202706514 , 0.0166139673 , 0.0688768104 , 0.0057869098 , 0.0140027152 , 0.0083545260
1990-01-25 , 0.0672959363 , 0.0029570403 , 0.0050552650 , 0.0672959363 , 0.0078558603 , 0.0097641274 , 0.0199309385 , 0.0163178903 , 0.0672959363 , 0.0056615052 , 0.0136642031 , 0.0083832070
1990-01-26 , 0.0659415068 , 0.0030570701 , 0.0051553796 , 0.0659415068 , 0.0076981226 , 0.0095402752 , 0.0195157086 , 0.0160761233 , 0.0659415068 , 0.0055508224 , 0.0133611820 , 0.0084754096
1990-01-27 , 0.0644095386 , 0.0029404817 , 0.0049448366 , 0.0644095386 , 0.0074775484 , 0.0092555434 , 0.0189878251 , 0.0155975765 , 0.0644095386 , 0.0053930353 , 0.01299045   , 0.0081488151
1990-01-28 , 0.0630622369 , 0.0035486010 , 0.0054927402 , 0.0630622369 , 0.0074678915 , 0.0097360964 , 0.0191162039 , 0.0159727590 , 0.0630622369 , 0.0054020634 , 0.0129930849 , 0.0087904188
1990-01-29 , 0.0619348243 , 0.0035081933 , 0.0054757011 , 0.0619348243 , 0.0072933055 , 0.0094064500 , 0.0185779077 , 0.0155857510 , 0.0619348243 , 0.0052574722 , 0.0126208835 , 0.0087473552
1990-01-30 , 0.0605033733 , 0.0031842267 , 0.0049732349 , 0.0605033733 , 0.0070458165 , 0.0089437555 , 0.0179428100 , 0.0149865609 , 0.0605033733 , 0.0051040014 , 0.0122608608 , 0.0080548604
1990-01-31 , 0.0590866265 , 0.0031628361 , 0.0048866412 , 0.0590866265 , 0.0068844829 , 0.0087605087 , 0.0175335496 , 0.0147804543 , 0.0590866265 , 0.0049875188 , 0.0120021679 , 0.0079207668
1990-02-01 , 0.05769588686, 0.0032131195 , 0.0048862881 , 0.0576958868 , 0.0067600320 , 0.0086698037 , 0.0171882134 , 0.0147383795 , 0.0576958868 , 0.0048886546 , 0.0117608812 , 0.0079174182
1990-02-02 , 0.0563817978 , 0.0032161287 , 0.0048640215 , 0.0563817978 , 0.0066051906 , 0.0084947657 , 0.0167941553 , 0.0144990708 , 0.0563817978 , 0.0047725537 , 0.0114819844 , 0.0078643516
1990-02-03 , 0.0552792125 , 0.0034324929 , 0.0051483437 , 0.0552792125 , 0.0065841392 , 0.0087799355 , 0.0166871742 , 0.0156614797 , 0.0552792125 , 0.0047273283 , 0.0114491638 , 0.0081286395
1990-02-04 , 0.05415278895, 0.0034381018 , 0.0051774200 , 0.0541527889 , 0.0064895134 , 0.0086186867 , 0.0163876428 , 0.0157332103 , 0.0541527889 , 0.0046597233 , 0.0112463209 , 0.0081357602
1990-02-05 , 0.05422105084, 0.0038059657 , 0.0056942128 , 0.0542210508 , 0.0070839141 , 0.0095393852 , 0.0176348721 , 0.0179551300 , 0.0542210508 , 0.0050480594 , 0.0124383502 , 0.0088785241
1990-02-06 , 0.0569071099 , 0.0041818688 , 0.0060445573 , 0.0569071099 , 0.0082783240 , 0.0109041850 , 0.0202858677 , 0.0209170446 , 0.0569071099 , 0.0058421240 , 0.0147994854 , 0.0096908851
1990-02-07 , 0.06084880124, 0.0045460029 , 0.0065204195 , 0.0608488012 , 0.0094889747 , 0.0113852465 , 0.0230479558 , 0.0252046515 , 0.0608488012 , 0.0068826040 , 0.0175270362 , 0.0106197074
1990-02-08 , 0.0668531065 , 0.0051214712 , 0.0071524726 , 0.0668531065 , 0.0106413382 , 0.0125999732 , 0.0251845395 , 0.0303178010 , 0.0668531065 , 0.0080583077 , 0.0189866384 , 0.0118614761
1990-02-09 , 0.0651539555 , 0.0047950320 , 0.0068367286 , 0.0651539555 , 0.0099518528 , 0.0119092870 , 0.0237282788 , 0.0282998544 , 0.0651539555 , 0.0075490032 , 0.0165859505 , 0.0111753111
1990-02-10 , 0.06186075564, 0.0040900336 , 0.0058976914 , 0.0618607556 , 0.0087658210 , 0.0105831004 , 0.0211908270 , 0.0214690314 , 0.0618607556 , 0.0063553845 , 0.0146010434 , 0.0098864520
1990-02-11 , 0.0603204939 , 0.0039610543 , 0.0055943807 , 0.0603204939 , 0.0084903010 , 0.0101140764 , 0.0203262329 , 0.0199386738 , 0.0603204939 , 0.0060157210 , 0.0140149435 , 0.0094518025
1990-02-12 , 0.05890874865, 0.0038336577 , 0.0054217585 , 0.0589087486 , 0.0082378599 , 0.0098095363 , 0.0197541554 , 0.0193144621 , 0.0589087486 , 0.0058384365 , 0.0136118712 , 0.0091599924
1990-02-13 , 0.0579022266 , 0.0037105419 , 0.0052548161 , 0.0579022266 , 0.0079937758 , 0.0095151266 , 0.0192006782 , 0.0187113443 , 0.0579022266 , 0.0056669518 , 0.0132220373 , 0.0088778743
1990-02-14 , 0.05930218175, 0.0035916363 , 0.0050935534 , 0.0593021817 , 0.0077577661 , 0.0092305360 , 0.018665236  , 0.0181285293 , 0.0593021817 , 0.0055011748 , 0.0128449404 , 0.0086052787
1990-02-15 , 0.0630482426 , 0.0082490003 , 0.0097074720 , 0.0630482426 , 0.0092486841 , 0.0116470902 , 0.0214449140 , 0.0256544042 , 0.0630482426 , 0.0067276849 , 0.0149463088 , 0.0149997570
1990-02-16 , 0.06245108714, 0.0091996934 , 0.0104065506 , 0.0624510871 , 0.0090535905 , 0.0113826045 , 0.0213196224 , 0.0254268222 , 0.0624510871 , 0.0066016162 , 0.0146568086 , 0.0157672741
1990-02-17 , 0.05997698045, 0.0064924028 , 0.0082873592 , 0.0599769804 , 0.0082270374 , 0.0100795746 , 0.0193074968 , 0.0226004988 , 0.0599769804 , 0.0058464473 , 0.0133616906 , 0.0128620570
1990-02-18 , 0.0613719163 , 0.0056650797 , 0.0075699982 , 0.0613719163 , 0.0087726875 , 0.0110074926 , 0.0203848733 , 0.0243847600 , 0.0613719163 , 0.0061643670 , 0.0142207816 , 0.0123713740
1990-02-19 , 0.064666635  , 0.0061405324 , 0.0082386581 , 0.064666635  , 0.0096268053 , 0.0124100438 , 0.0223123974 , 0.0292374363 , 0.064666635  , 0.0067348761 , 0.0156582374 , 0.0137055715
1990-02-20 , 0.0786895681 , 0.0080825806 , 0.0112980596 , 0.0786895681 , 0.0123922066 , 0.0165163958 , 0.0287872879 , 0.0416279827 , 0.0786895681 , 0.0086785068 , 0.0203194089 , 0.0187854907
1990-02-21 , 0.0913120623 , 0.0112277560 , 0.0157731233 , 0.0913120623 , 0.0156835201 , 0.0223524588 , 0.0362075100 , 0.0596779151 , 0.0913120623 , 0.0108019229 , 0.0260946484 , 0.026020926 
1990-02-22 , 0.1029789042 , 0.0138810617 , 0.0195507473 , 0.1029789042 , 0.0185913510 , 0.0274957162 , 0.0428953665 , 0.0751575612 , 0.1029789042 , 0.0127055132 , 0.0313097495 , 0.0319542778
1990-02-23 , 0.1136470583 , 0.0168511850 , 0.0234407778 , 0.1136470583 , 0.0216243460 , 0.0326290837 , 0.0493698968 , 0.0902048181 , 0.1136470583 , 0.0146163091 , 0.0361956985 , 0.0381625140
1990-02-24 , 0.1213435844 , 0.0190335874 , 0.0261708577 , 0.1213435844 , 0.0237999244 , 0.0363171612 , 0.0540365572 , 0.1008618955 , 0.1213435844 , 0.0159749914 , 0.0396834479 , 0.0426097729
1990-02-25 , 0.1273907697 , 0.0207422892 , 0.0282042891 , 0.1273907697 , 0.0255474514 , 0.0391938386 , 0.0575262422 , 0.1086770234 , 0.1273907697 , 0.0170252765 , 0.0422696431 , 0.0459415576
1990-02-26 , 0.1219653236 , 0.0213650173 , 0.0285261930 , 0.1219653236 , 0.0250860425 , 0.0387796190 , 0.0557207884 , 0.1075989618 , 0.1219653236 , 0.0166397942 , 0.0409743415 , 0.0462604099
1990-02-27 , 0.1114106355 , 0.0210493864 , 0.0271813569 , 0.1114106355 , 0.0218808491 , 0.0338026542 , 0.0491582517 , 0.0935594063 , 0.1114106355 , 0.0147824605 , 0.0352677804 , 0.0429612901
1990-02-28 , 0.1069721787 , 0.0186599730 , 0.0237947252 , 0.1069721787 , 0.0180529559 , 0.0288702788 , 0.0425199155 , 0.0758222791 , 0.1069721787 , 0.0125120515 , 0.0294493781 , 0.0374631245
1990-03-01 , 0.1027172442 , 0.0139003046 , 0.0182453580 , 0.1027172442 , 0.0156121431 , 0.0236236007 , 0.0368883768 , 0.0570915503 , 0.1027172442 , 0.0108867503 , 0.0250458047 , 0.0297485633
1990-03-02 , 0.0993535925 , 0.0109133120 , 0.0142088147 , 0.0993535925 , 0.0145334313 , 0.0199121263 , 0.0338191421 , 0.0461712025 , 0.0993535925 , 0.0101270886 , 0.0225895352 , 0.0240849530
1990-03-03 , 0.0965999391 , 0.0091875429 , 0.0119569284 , 0.0965999391 , 0.0139964633 , 0.0179859019 , 0.0325381385 , 0.0391104803 , 0.0965999391 , 0.0097931331 , 0.0217659420 , 0.0206885444
1990-03-04 , 0.0937545635 , 0.0084208452 , 0.0111436348 , 0.0937545635 , 0.0135607967 , 0.0172113064 , 0.0315443391 , 0.0360026607 , 0.0937545635 , 0.0094853154 , 0.0210965191 , 0.0189363268
1990-03-05 , 0.0919074871 , 0.0082713939 , 0.0111086244 , 0.0919074871 , 0.0134365363 , 0.0171986473 , 0.0310879884 , 0.0361137107 , 0.0919074871 , 0.0093300855 , 0.0208160964 , 0.0187571772
1990-03-06 , 0.0904666477 , 0.0083492420 , 0.0112048114 , 0.0904666477 , 0.0133808136 , 0.0172650231 , 0.0307973366 , 0.0364885400 , 0.0904666477 , 0.0092564334 , 0.0206553989 , 0.018942289 
1990-03-07 , 0.0919426247 , 0.0090215893 , 0.0120002463 , 0.0919426247 , 0.0140305837 , 0.0184318967 , 0.0319212171 , 0.0396986502 , 0.0919426247 , 0.0095987391 , 0.0215387838 , 0.0203807124
1990-03-08 , 0.0963244403 , 0.0105578104 , 0.0138971116 , 0.0963244403 , 0.0153321018 , 0.0207539311 , 0.034374449  , 0.0465599342 , 0.0963244403 , 0.0104231515 , 0.0234866107 , 0.0235083969
1990-03-09 , 0.0937508548 , 0.0114499692 , 0.0145911040 , 0.0937508548 , 0.0148439618 , 0.0208234151 , 0.0335453457 , 0.0475457932 , 0.0937508548 , 0.0100741068 , 0.0228778416 , 0.0244514747
1990-03-10 , 0.0926680741 , 0.0118309867 , 0.0147618610 , 0.0926680741 , 0.0148507577 , 0.0209344370 , 0.0331434179 , 0.047518271  , 0.0926680741 , 0.0100641603 , 0.0223659091 , 0.0251845465
1990-03-11 , 0.1194346675 , 0.0156358506 , 0.0201886212 , 0.1194346675 , 0.0199577754 , 0.0285448709 , 0.0445660061 , 0.066740248  , 0.1194346675 , 0.0135043673 , 0.0304664752 , 0.0340554130
1990-03-12 , 0.1501221268 , 0.0218264543 , 0.0287933915 , 0.1501221268 , 0.0278859315 , 0.0405765110 , 0.0600222694 , 0.0964777627 , 0.1501221268 , 0.0185636732 , 0.0416727136 , 0.0481952808
1990-03-13 , 0.1524079641 , 0.0246959544 , 0.0330435859 , 0.1524079641 , 0.0305837560 , 0.0458425167 , 0.0643696819 , 0.1111690380 , 0.1524079641 , 0.0199450458 , 0.0453134325 , 0.0549653230
1990-03-14 , 0.1543970037 , 0.0258786801 , 0.0355458012 , 0.1543970037 , 0.0320259518 , 0.0488802592 , 0.0670636212 , 0.1212879887 , 0.1543970037 , 0.0205743012 , 0.0477920532 , 0.0589163321
1990-03-15 , 0.1595736327 , 0.0266072591 , 0.0374682955 , 0.1595736327 , 0.0331052144 , 0.0507888229 , 0.0703030621 , 0.1287833320 , 0.1595736327 , 0.0215562042 , 0.0504716096 , 0.0616881758
1990-03-16 , 0.1706861143 , 0.0279841671 , 0.0403113470 , 0.1706861143 , 0.0357030797 , 0.0547442966 , 0.0762051617 , 0.1398374770 , 0.1706861143 , 0.0233883893 , 0.0548099659 , 0.0648102372
1990-03-17 , 0.1697553564 , 0.0288081417 , 0.0418528239 , 0.1697553564 , 0.0366569801 , 0.0566815977 , 0.0774683069 , 0.1457777799 , 0.1697553564 , 0.0238897252 , 0.0558729384 , 0.0646086516
1990-03-18 , 0.1607330181 , 0.0283698188 , 0.0405604609 , 0.1607330181 , 0.0349736108 , 0.0545799538 , 0.0742134942 , 0.1404343216 , 0.1607330181 , 0.0229931865 , 0.0535184507 , 0.0608102304
1990-03-19 , 0.1589873702 , 0.0281205919 , 0.0378187391 , 0.1589873702 , 0.0344527632 , 0.0534567373 , 0.0735223275 , 0.1299896240 , 0.1589873702 , 0.0229921128 , 0.0527335838 , 0.0566886618
1990-03-20 , 0.1701697032 , 0.0281359637 , 0.0364262897 , 0.1701697032 , 0.0368021788 , 0.0550337614 , 0.0780716224 , 0.1224355062 , 0.1701697032 , 0.0245287860 , 0.0557461773 , 0.0561331290
1990-03-21 , 0.2067630061 , 0.0293666133 , 0.0387524640 , 0.2067630061 , 0.0443132471 , 0.0611850313 , 0.0929440534 , 0.1243113765 , 0.2067630061 , 0.0294074164 , 0.0659949126 , 0.0622446129
1990-03-22 , 0.2825501619 , 0.0327867296 , 0.0449512623 , 0.2825501619 , 0.0588619656 , 0.0742761683 , 0.1229591652 , 0.1382509583 , 0.2825501619 , 0.0389631483 , 0.0875496758 , 0.0757341172
1990-03-23 , 0.308865752  , 0.0344694913 , 0.0480189571 , 0.308865752  , 0.0659579242 , 0.0781351161 , 0.1322594536 , 0.1430378100 , 0.308865752  , 0.0429224649 , 0.0910792032 , 0.0835475214
1990-03-24 , 0.2921867371 , 0.0326267948 , 0.0459403709 , 0.2921867371 , 0.0628646286 , 0.0715046070 , 0.1227759466 , 0.1352812025 , 0.2921867371 , 0.0407135009 , 0.0825785319 , 0.0806580719
1990-03-25 , 0.2678742303 , 0.0298345495 , 0.0419866490 , 0.2678742303 , 0.0571232549 , 0.0635879516 , 0.1101646705 , 0.1248453776 , 0.2678742303 , 0.0371245772 , 0.0733107955 , 0.0739734791
1990-03-26 , 0.2187830890 , 0.0241741038 , 0.0333761145 , 0.2187830890 , 0.0442168624 , 0.0500875966 , 0.0876658969 , 0.1011823301 , 0.2187830890 , 0.0286324959 , 0.0582136931 , 0.0586415609
1990-03-27 , 0.190480861  , 0.0194625854 , 0.0269556680 , 0.190480861  , 0.0347843877 , 0.0392151443 , 0.0732414528 , 0.0817782367 , 0.190480861  , 0.0233932494 , 0.0481566253 , 0.0463134200
1990-03-28 , 0.1723424982 , 0.0155956126 , 0.0221646344 , 0.1723424982 , 0.0288182717 , 0.0317942018 , 0.0625313935 , 0.0667917322 , 0.1723424982 , 0.0197827092 , 0.0408593071 , 0.0367401687
1990-03-29 , 0.1636680179 , 0.0124311658 , 0.0185429326 , 0.1636680179 , 0.0249136607 , 0.0286597640 , 0.0553821987 , 0.0555000869 , 0.1636680179 , 0.0174140647 , 0.0367476004 , 0.0308375039
1990-03-30 , 0.1586889479 , 0.0112943860 , 0.0171417517 , 0.1586889479 , 0.0236330385 , 0.0280761719 , 0.0530818939 , 0.0503228647 , 0.1586889479 , 0.0164653637 , 0.0353659452 , 0.0291351884
1990-03-31 , 0.1829323098 , 0.0123107909 , 0.0185497141 , 0.1829323098 , 0.0279160957 , 0.0318830420 , 0.0619004144 , 0.0585007278 , 0.1829323098 , 0.0195635760 , 0.0412300109 , 0.0320387099
1990-04-01 , 0.2038239514 , 0.0147558141 , 0.0205387257 , 0.2038239514 , 0.0337041218 , 0.0366894193 , 0.0703558180 , 0.0722925255 , 0.2038239514 , 0.0235749138 , 0.0463062992 , 0.0366110342
1990-04-02 , 0.1945415921 , 0.0163536919 , 0.0209764269 , 0.1945415921 , 0.0348326789 , 0.0375606961 , 0.0695383425 , 0.0780514186 , 0.1945415921 , 0.0240661056 , 0.0456911439 , 0.0377996374
1990-04-03 , 0.176523802  , 0.0169070773 , 0.0198484067 , 0.176523802  , 0.0327457851 , 0.0348456489 , 0.0655186123 , 0.0757372819 , 0.176523802  , 0.0229147452 , 0.0428624752 , 0.0357395878
1990-04-04 , 0.1640675721 , 0.0161685520 , 0.0184531883 , 0.1640675721 , 0.0295043804 , 0.0309605916 , 0.060737186  , 0.0687372560 , 0.1640675721 , 0.0213408293 , 0.0401264331 , 0.0323262531
1990-04-05 , 0.1578865193 , 0.0134623208 , 0.0167222200 , 0.1578865193 , 0.0254878998 , 0.0279617592 , 0.0549164665 , 0.0574519969 , 0.1578865193 , 0.0183155201 , 0.0366080956 , 0.0282066626
1990-04-06 , 0.1539660418 , 0.0126905088 , 0.0166935108 , 0.1539660418 , 0.0243579441 , 0.0274200440 , 0.0520969813 , 0.0526303891 , 0.1539660418 , 0.0168507611 , 0.0346175865 , 0.0285467077
1990-04-07 , 0.1512010504 , 0.0165768658 , 0.0208343505 , 0.1512010504 , 0.0263788293 , 0.0307432669 , 0.0543592383 , 0.0622663709 , 0.1512010504 , 0.0181102047 , 0.0361942431 , 0.0351187812
1990-04-08 , 0.1474302786 , 0.0179439969 , 0.0221473976 , 0.1474302786 , 0.0261008651 , 0.0311826352 , 0.0537221272 , 0.0642504939 , 0.1474302786 , 0.0179644831 , 0.0356903924 , 0.0369311862
1990-04-09 , 0.1424688834 , 0.0153199373 , 0.0197245845 , 0.1424688834 , 0.023459597  , 0.0284144366 , 0.0503153907 , 0.0580065691 , 0.1424688834 , 0.0164611815 , 0.0331611351 , 0.0330023589
1990-04-10 , 0.1380887491 , 0.0129817821 , 0.0172578599 , 0.1380887491 , 0.0223266037 , 0.0262277391 , 0.0472916072 , 0.0514536540 , 0.1380887491 , 0.0154902140 , 0.0315651505 , 0.0295878940
1990-04-11 , 0.1339436708 , 0.0109618858 , 0.0153774402 , 0.1339436708 , 0.0215838396 , 0.0249309115 , 0.0456180008 , 0.0471058880 , 0.1339436708 , 0.0149859675 , 0.0304974308 , 0.0264946549
1990-04-12 , 0.1302149172 , 0.0104745088 , 0.0148428174 , 0.1302149172 , 0.020895414  , 0.0241318313 , 0.0441831517 , 0.0453493754 , 0.1302149172 , 0.0145080284 , 0.0295374834 , 0.0255628798
1990-04-13 , 0.1275259371 , 0.0110812717 , 0.0152956079 , 0.1275259371 , 0.0209251403 , 0.0245723864 , 0.0437506923 , 0.0462883843 , 0.1275259371 , 0.0144053706 , 0.0291587123 , 0.0265177973
1990-04-14 , 0.1245841556 , 0.0123844288 , 0.0165546558 , 0.1245841556 , 0.0206654725 , 0.0250790349 , 0.043139705  , 0.0484110514 , 0.1245841556 , 0.0142067803 , 0.0287611502 , 0.0283964934
1990-04-15 , 0.1212389346 , 0.0118360165 , 0.0159215290 , 0.1212389346 , 0.0199456957 , 0.0239005195 , 0.0415939048 , 0.0455685650 , 0.1212389346 , 0.0137386462 , 0.0278072498 , 0.0274495443
1990-04-16 , 0.1176184407 , 0.0106589988 , 0.0145589193 , 0.1176184407 , 0.0193113397 , 0.0227415013 , 0.0402794167 , 0.0430940980 , 0.1176184407 , 0.0133107785 , 0.0269491830 , 0.0249712343
1990-04-17 , 0.113994224  , 0.0105268691 , 0.0143447876 , 0.113994224  , 0.0187519497 , 0.0222537570 , 0.0391243545 , 0.0422932376 , 0.113994224  , 0.0129220043 , 0.0261619851 , 0.0245678936
1990-04-18 , 0.1109752372 , 0.0101118299 , 0.0138530024 , 0.1109752372 , 0.0182077478 , 0.0215624773 , 0.0379657321 , 0.0409965232 , 0.1109752372 , 0.0125429224 , 0.0253965164 , 0.0237040767
1990-04-19 , 0.1076939265 , 0.0097362941 , 0.0134254738 , 0.1076939265 , 0.0176414772 , 0.0208953858 , 0.0368007236 , 0.0397361472 , 0.1076939265 , 0.0121525234 , 0.0246163544 , 0.0229641949
1990-04-20 , 0.1044990963 , 0.0102482548 , 0.0137160125 , 0.1044990963 , 0.0172291509 , 0.0207400003 , 0.0359566724 , 0.0397735313 , 0.1044990963 , 0.0118774413 , 0.0240025554 , 0.0234221282
1990-04-21 , 0.1020992774 , 0.0116664745 , 0.0151517797 , 0.1020992774 , 0.0174432824 , 0.0217071251 , 0.0359943814 , 0.0425197741 , 0.1020992774 , 0.0119042856 , 0.0240366476 , 0.0257834540
1990-04-22 , 0.1002894931 , 0.0138691373 , 0.0181934215 , 0.1002894931 , 0.0179039708 , 0.0238163418 , 0.0366790770 , 0.0488997565 , 0.1002894931 , 0.0120686000 , 0.0243156716 , 0.0302578397
1990-04-23 , 0.097731675  , 0.0141465928 , 0.0188245703 , 0.097731675  , 0.0172465571 , 0.023555247  , 0.0355068489 , 0.0486241376 , 0.097731675  , 0.0116051001 , 0.0233426412 , 0.0309323346
1990-04-24 , 0.0950954932 , 0.0136509083 , 0.0180965565 , 0.0950954932 , 0.0167271367 , 0.022360512  , 0.0342015584 , 0.0451528478 , 0.0950954932 , 0.0113756815 , 0.0228309632 , 0.0297833759
1990-04-25 , 0.0937226048 , 0.0145034225 , 0.0187850951 , 0.0937226048 , 0.0173356091 , 0.0235524495 , 0.0347433018 , 0.0482463129 , 0.0937226048 , 0.0116237357 , 0.0232564856 , 0.0301531192
1990-04-26 , 0.0925552156 , 0.0142366762 , 0.0181571396 , 0.0925552156 , 0.0179249375 , 0.0243283872 , 0.0358229459 , 0.0524330420 , 0.0925552156 , 0.0118918665 , 0.0238391029 , 0.0280371771
1990-04-27 , 0.0924404003 , 0.0136066013 , 0.0179045500 , 0.0924404003 , 0.0191301841 , 0.0249641136 , 0.0377907505 , 0.0573178326 , 0.0924404003 , 0.0125395315 , 0.0252127753 , 0.0267320421
1990-04-28 , 0.0971602546 , 0.0147718076 , 0.0195811518 , 0.0971602546 , 0.0224630990 , 0.0284228289 , 0.0430676637 , 0.0664356373 , 0.0971602546 , 0.0147560685 , 0.0293321114 , 0.0288397894
1990-04-29 , 0.1201093886 , 0.0154494673 , 0.0211139819 , 0.1201093886 , 0.0305328934 , 0.0355255691 , 0.0550950650 , 0.0736808212 , 0.1201093886 , 0.0203749480 , 0.0397708186 , 0.0342472783
1990-04-30 , 0.174600912  , 0.0164463183 , 0.0246303417 , 0.174600912  , 0.0439978705 , 0.0459646718 , 0.0751702202 , 0.0871197736 , 0.174600912  , 0.0306407786 , 0.0582908913 , 0.0454516376
1990-05-01 , 0.2698524475 , 0.0191155327 , 0.0305534079 , 0.2698524475 , 0.0622563397 , 0.0619144016 , 0.1077898662 , 0.1093826293 , 0.2698524475 , 0.0443508007 , 0.0805126613 , 0.0617012307
